row_index,actual_label,predicted,dominant_driver,driver_value,tag,reason
1,0,Insoluble,instability_index,52.137,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
3,0,Insoluble,gravy,0.131,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
4,1,Insoluble,gravy,0.075,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
5,0,Insoluble,molecular_weight,40989.968,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
7,1,Insoluble,instability_index,49.464,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
8,0,Insoluble,molecular_weight,83459.062,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
9,0,Insoluble,fraction_negative,0.091,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
10,0,Insoluble,aromaticity,0.11,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
12,0,Insoluble,aromaticity,0.13,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
13,0,Insoluble,instability_index,43.124,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
16,0,Insoluble,molecular_weight,49897.832,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
18,1,Insoluble,instability_index,44.464,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
19,0,Insoluble,instability_index,48.115,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
20,0,Insoluble,isoelectric_point,6.832,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
23,0,Insoluble,instability_index,40.383,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
25,0,Insoluble,aromaticity,0.157,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
26,0,Insoluble,isoelectric_point,9.083,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
28,0,Insoluble,gravy,0.766,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
29,0,Insoluble,aromaticity,0.127,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
30,1,Insoluble,aa_pct_K,5.839,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
31,0,Insoluble,gravy,0.742,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
32,1,Insoluble,aromaticity,0.148,MBP (Maltose-Binding Protein),High aromatic content promotes hydrophobic stacking; MBP fusion counteracts this well.
34,0,Insoluble,isoelectric_point,7.647,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
35,0,Insoluble,molecular_weight,37121.191,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
36,1,Insoluble,instability_index,43.842,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
37,0,Insoluble,gravy,0.615,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
39,0,Insoluble,aa_pct_K,2.98,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
40,0,Insoluble,molecular_weight,55172.08,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
42,1,Insoluble,aa_pct_Y,1.37,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
43,0,Insoluble,instability_index,42.827,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
44,0,Insoluble,aa_pct_Y,1.042,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
45,0,Insoluble,molecular_weight,140487.74,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
46,0,Insoluble,instability_index,47.838,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
47,0,Insoluble,gravy,0.422,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
48,1,Insoluble,molecular_weight,64611.555,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
49,0,Insoluble,molecular_weight,56744.258,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
50,1,Insoluble,instability_index,47.706,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
51,0,Insoluble,instability_index,40.055,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
52,0,Insoluble,instability_index,44.123,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
53,0,Insoluble,instability_index,42.29,SUMO,Instability index above 40 indicates a poorly-folding sequence; SUMO fusions are known to improve folding kinetics for unstable proteins.
55,1,Insoluble,molecular_weight,47056.274,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
60,0,Insoluble,gravy,0.062,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
61,0,Insoluble,gravy,0.007,MBP (Maltose-Binding Protein),High hydrophobicity (GRAVY > 0) drives aggregation; MBP is the strongest general-purpose solubility carrier for hydrophobic proteins.
63,0,Insoluble,molecular_weight,77023.295,SUMO,No single dominant driver crossed a rule threshold; SUMO is the safest general first choice for borderline-insoluble proteins.
